n,p,k,temperature,humidity,ph,rainfall,crop_std,country,year,unit,yield,yield_foodgrains,yield_oilseeds,n_norm,p_norm,k_norm,temperature_norm,humidity_norm,ph_norm,rainfall_norm,year_norm
9.0,139.0,199.0,23.25230817,94.54128292,5.867420996,105.3558408,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0642857142857142,0.9571428571428572,0.97,0.4139658146490299,0.93653348553713,0.3674252471877989,0.3058915936632153,0.5
0.0,133.0,200.0,23.67287749,90.4935574,5.708418722,104.2298028,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0,0.9142857142857144,0.975,0.4260338637940569,0.8893152822995106,0.342698356670751,0.3018461736807772,0.5
30.0,143.0,199.0,23.76881552,90.59810302,5.7983508000000015,102.2648546,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2142857142857142,0.9857142857142858,0.97,0.4287867627951468,0.8905348453129539,0.3566839468810938,0.2947868730952415,0.5
36.0,140.0,198.0,23.34386401,91.47684705,6.28188384,104.4267991,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2571428571428571,0.9642857142857144,0.965,0.4165929686616769,0.9007857168202652,0.431879528935822,0.3025539053634437,0.5
37.0,137.0,199.0,22.63946441,90.18451645,5.697945522,108.3405879,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2642857142857143,0.9428571428571428,0.97,0.3963805361653233,0.8857102062354976,0.3410696399030704,0.3166146381438313,0.5
33.0,121.0,203.0,22.45696744,94.76285385,5.6059340870000005,114.8407725,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2357142857142857,0.8285714285714286,0.99,0.3911438669694378,0.9391181917264688,0.3267606830414756,0.3399672929124765,0.5
7.0,144.0,195.0,22.96388477,93.58065995,5.85648105,104.64729859999998,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.05,0.9928571428571428,0.95,0.4056896337669442,0.9253274661546236,0.3657239454378352,0.3033460749735435,0.5
35.0,128.0,205.0,21.07273439,93.56585985,6.041053829,107.8737015,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.25,0.8785714285714286,1.0,0.3514239166992409,0.9251548175581996,0.3944273770551736,0.3149372954856895,0.5
29.0,128.0,198.0,22.44075021,92.70785115,5.685062404,121.4977331,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,0.8785714285714286,0.965,0.3906785207843281,0.9151458312828048,0.3390661500139621,0.3638831833473841,0.5
2.0,143.0,196.0,22.71271308,90.45261746,5.669489065,109.8852597,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0142857142857142,0.9857142857142858,0.955,0.3984823740962686,0.8888377028791906,0.3366442962960846,0.3221640478138677,0.5
34.0,140.0,198.0,21.70416965,93.44006288,5.751707342,115.1781396,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2428571428571428,0.9642857142857144,0.965,0.3695426699872431,0.9236873497502204,0.3494302916327256,0.3411793227087686,0.5
29.0,144.0,204.0,22.43324518,92.48667725,5.800448951,119.1025189,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,0.9928571428571428,0.995,0.3904631672942663,0.9125657565940802,0.3570102362401076,0.3552781030686552,0.5
32.0,141.0,203.0,21.25941052,92.84416234,5.821347769,109.06584709999998,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2285714285714285,0.9714285714285714,0.99,0.3567805050282313,0.9167359513245862,0.3602602701649162,0.3192202145632122,0.5
13.0,144.0,197.0,22.9215706,94.89613443,6.28022267,105.6941544,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0928571428571428,0.9928571428571428,0.96,0.4044754475227098,0.940672958590717,0.4316211957202843,0.3071070238687416,0.5
25.0,143.0,198.0,22.81212536,91.51861705,6.027314401,107.855225,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1785714285714285,0.9857142857142858,0.965,0.4013349651522666,0.9012729791950213,0.3922907199912446,0.3148709165514924,0.5
9.0,137.0,200.0,21.12152071,90.6878768,5.636687393,102.8017203,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0642857142857142,0.9428571428571428,0.975,0.3528238184024012,0.8915820893932417,0.3315432160919102,0.2967156243724324,0.5
6.0,144.0,198.0,21.11478672,90.31528693,5.559363609,104.5086618,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0428571428571428,0.9928571428571428,0.965,0.3526305895614052,0.8872356918623294,0.3195183771180231,0.3028480064527465,0.5
37.0,126.0,196.0,23.59997268,90.97597665,5.596449493,107.17281909999998,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2642857142857143,0.8642857142857143,0.955,0.4239418927725167,0.8949428798427946,0.325285707171403,0.3124192955014092,0.5
2.0,120.0,203.0,23.12652652,94.71203306,5.893492998999999,108.62118329999998,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0142857142857142,0.8214285714285714,0.99,0.4103565662765081,0.9385253485657704,0.3714797776515653,0.3176227091309028,0.5
11.0,143.0,197.0,22.98458907,93.3204487,5.875718516,122.1952483,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0785714285714285,0.9857142857142858,0.96,0.4062837344253407,0.9222920064559594,0.3687156178437747,0.3663890862815073,0.5
10.0,141.0,201.0,22.12659387,90.97818277,6.386021424,104.5412275,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0714285714285714,0.9714285714285714,0.98,0.3816639446608443,0.8949686150419853,0.4480742573098192,0.3029650024453525,0.5
24.0,142.0,202.0,22.53779727,91.48135786,5.710819862,101.8474768,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1714285714285714,0.9785714285714284,0.985,0.3934632429068556,0.9008383370738604,0.3430717647007273,0.2932873957309375,0.5
23.0,138.0,195.0,22.49095104,91.70292746,5.7959857160000015,124.3915101,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1642857142857142,0.95,0.95,0.3921190112213412,0.9034230277482612,0.3563161460210154,0.3742794073651521,0.5
18.0,125.0,204.0,22.35548159,94.47811755,6.046673619,116.7366261,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1285714285714285,0.8571428571428571,0.995,0.3882317757467,0.9357966383216992,0.3953013263928969,0.3467783632646466,0.5
13.0,121.0,196.0,22.20700989,93.50574163,6.443382913,120.1593771,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0928571428571428,0.8285714285714286,0.955,0.3839714465047911,0.9244535164654708,0.4569947036827928,0.3590749867270073,0.5
26.0,122.0,202.0,22.44516988,94.73763514,5.617227184,107.1843273,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1857142857142857,0.8357142857142857,0.985,0.3908053412446622,0.9388240062219708,0.3285169042960055,0.3124606400228569,0.5
28.0,123.0,202.0,22.76643029,92.12438519,6.442289294,120.4359949,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2,0.8428571428571429,0.985,0.4000237654897581,0.9083394867949226,0.4568246319184081,0.3600687677322824,0.5
26.0,121.0,201.0,22.19109412,90.02575116,6.162034371,112.3126628,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1857142857142857,0.8285714285714286,0.98,0.3835147505799887,0.8838581508791601,0.4132414011660937,0.3308847703882141,0.5
21.0,137.0,196.0,23.6119202,91.70293849,5.812781806,123.5900822,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.15,0.9428571428571428,0.955,0.4242847215326393,0.903423156417258,0.3589281531835322,0.3714001862010854,0.5
21.0,135.0,198.0,23.86087054,94.92048112,5.7650151260000015,105.0241329,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.15,0.9285714285714286,0.965,0.4314282405553563,0.9409569716619848,0.3514998225250484,0.30469989518857,0.5
5.0,144.0,205.0,21.42177231,92.62665309,6.184922574,102.8045658,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0357142857142857,0.9928571428571428,1.0,0.3614394042104031,0.914198626122614,0.4168008099435616,0.2967258471558199,0.5
2.0,123.0,205.0,22.36629253,90.78572467,5.739652177000001,124.9831618,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0142857142857142,0.8428571428571429,1.0,0.3885419908504168,0.8927235206956359,0.347555559041669,0.3764049835977689,0.5
15.0,133.0,199.0,23.99686172,91.61001707,5.8247786360000005,117.6102915,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1071428571428571,0.9142857142857144,0.97,0.4353304468397571,0.9023391939615508,0.3607938139347844,0.3499171058888962,0.5
31.0,130.0,198.0,21.80129837,92.73446667,5.554823557000001,120.05866709999998,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2214285714285714,0.8928571428571429,0.965,0.3723297353070662,0.9154563110884206,0.3188123408713611,0.3587131745622035,0.5
25.0,143.0,200.0,23.80436344,92.80441624,6.024248787,100.6192543,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1785714285714285,0.9857142857142858,0.975,0.4298067945120668,0.9162722984858672,0.3918139777419764,0.288874866274223,0.5
16.0,143.0,204.0,23.71475278,91.53331177,5.631333387000001,121.8961665,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1142857142857142,0.9857142857142858,0.995,0.4272354565723467,0.9014443984950828,0.330710599571032,0.365314600793359,0.5
19.0,122.0,202.0,23.34467359,90.37981478,5.811975094,112.8954016,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1357142857142857,0.8357142857142857,0.985,0.4166161991988611,0.8879884329068326,0.3588026991330902,0.3329783260107259,0.5
10.0,125.0,196.0,22.31253665,90.03577124,5.730557448,113.0688155,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0714285714285714,0.8571428571428571,0.955,0.3869994898385166,0.8839750387885699,0.34614121217349,0.3336013352309232,0.5
20.0,139.0,202.0,23.50201428,92.21083961,5.66999105,107.9868949,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1428571428571428,0.9571428571428572,0.985,0.4211310201549701,0.9093480093229892,0.3367223613942995,0.3153439556891996,0.5
28.0,123.0,198.0,23.46260321,91.45665004,5.682751473,111.7763395,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2,0.8428571428571429,0.965,0.4200001370710159,0.90055011128865,0.3387067706391146,0.3289579677449045,0.5
28.0,136.0,200.0,23.06204373,92.39544055,6.245858905,114.7399101,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2,0.9357142857142856,0.975,0.40850626136428,0.9115014470152702,0.4262771900433055,0.3396049332332857,0.5
2.0,131.0,199.0,22.47420512,91.22759742,6.017370134,124.2179699,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0142857142857142,0.9,0.97,0.3916384945123747,0.8978781284405468,0.3907442590809982,0.3736559443977955,0.5
2.0,140.0,197.0,22.69780133,92.82223419,5.53456749,105.0508234,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0142857142857142,0.9642857142857144,0.96,0.3980544880777679,0.916480151409743,0.3156622629610602,0.3047957838548861,0.5
27.0,138.0,201.0,23.66682067,93.90191078,5.952367662,105.4004751,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1928571428571428,0.95,0.98,0.4258600660443242,0.9290749749484496,0.3806355419661633,0.3060519474782038,0.5
30.0,127.0,204.0,22.50050273,92.45878335,6.126436584,100.9343903,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2142857142857142,0.8714285714285714,0.995,0.3923930927076895,0.9122403640167472,0.4077054892595874,0.2900070283074631,0.5
32.0,145.0,203.0,23.83053666,90.84422164,6.406818518,109.5966791,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2285714285714285,1.0,0.99,0.4305578233917854,0.893405909312304,0.4513084718494852,0.3211272890847804,0.5
29.0,139.0,205.0,23.64142354,93.74461474,6.155939452999999,116.6912176,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,0.9571428571428572,1.0,0.42513130672117,0.927240058932407,0.4122935633377089,0.3466152280478312,0.5
26.0,126.0,195.0,21.41363812,92.99124545,5.878568981,118.3979065,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1857142857142857,0.8642857142857143,0.95,0.3612059972546247,0.9184517297652156,0.3691589016673612,0.3527467026338266,0.5
40.0,136.0,202.0,22.85267372,94.57645809999998,5.935336307999999,117.53140259999998,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2857142857142857,0.9357142857142856,0.985,0.4024984822657599,0.93694381691705,0.3779869482377798,0.3496336885153683,0.5
6.0,124.0,200.0,22.98208095,93.84505029,5.971332179,109.5852253,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0428571428571428,0.85,0.975,0.406211765040076,0.9284116764713805,0.38358476730597,0.3210861400015392,0.5
35.0,138.0,200.0,21.19909519,90.80819418,5.67130617,103.6838922,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.25,0.95,0.975,0.355049783522824,0.8929856357734958,0.3369268794017387,0.2998849275684216,0.5
17.0,136.0,196.0,23.87192332,90.49939035,5.882155987999999,103.0548094,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1214285714285714,0.9357142857142856,0.955,0.4317453951500594,0.8893833258012782,0.3697167272074719,0.2976248758386149,0.5
33.0,134.0,205.0,21.0365275,94.33919546,6.08551916,114.7412734,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2357142857142857,0.9214285714285714,1.0,0.3503849761319436,0.93417606117352,0.4013423056519891,0.3396098310440719,0.5
16.0,143.0,197.0,22.61711614,93.51978375,5.90402645,116.9256766,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1142857142857142,0.9857142857142858,0.96,0.3957392625206686,0.9246173229471036,0.3731178642215958,0.3474575487542926,0.5
27.0,120.0,200.0,21.45278675,90.74531921,6.1102188260000005,116.7036582,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1928571428571428,0.8214285714285714,0.975,0.3623293497397762,0.8922521761806084,0.405183420131834,0.3466599223226545,0.5
29.0,145.0,205.0,22.81227579,92.12992101,6.212302608,109.3383552,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,1.0,1.0,0.4013392816740541,0.908404064166228,0.4210587559844532,0.3201992310023699,0.5
3.0,141.0,197.0,21.98141856,91.12719303,6.142803397000001,115.4789148,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0214285714285714,0.9714285714285714,0.96,0.3774982038604347,0.8967068743944057,0.4102507383493205,0.3422598919296135,0.5
15.0,123.0,204.0,22.52709326,92.54780429,6.365972687999999,115.3830068,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1071428571428571,0.8428571428571429,0.995,0.3931560961118187,0.9132788259422296,0.444956422026047,0.3419153314976604,0.5
5.0,136.0,195.0,22.35628673,91.92360477,6.264202804,107.7697413,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0357142857142857,0.9357142857142856,0.95,0.3882548788800636,0.9059973095324448,0.4291299013336407,0.3145638066065769,0.5
10.0,136.0,204.0,21.19852186,92.15595143,6.276198595,105.8554351,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0714285714285714,0.9357142857142856,0.995,0.355033332074068,0.9087077185656794,0.4309954005070827,0.3076864431836862,0.5
7.0,141.0,195.0,23.8812458,93.45067555,5.514253142,104.9116663,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.05,0.9714285714285714,0.95,0.4320128995576408,0.923811150439392,0.3125031216086466,0.3042958460969791,0.5
2.0,129.0,201.0,22.78234161,94.36803516,5.682343744,122.1449949,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0142857142857142,0.8857142857142857,0.98,0.4004803337237944,0.9345124868548524,0.338643363556373,0.3662085452086967,0.5
29.0,138.0,197.0,22.19055385,92.43764169,5.830892252000001,121.6622761,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,0.95,0.96,0.3834992477731944,0.9119937387963049,0.3617445595417012,0.364474322847268,0.5
30.0,137.0,200.0,22.91430043,90.70475565,5.603413172000001,118.6044645,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2142857142857142,0.9428571428571428,0.975,0.404266833235646,0.8917789873710762,0.326368648464613,0.3534887858146184,0.5
29.0,132.0,204.0,23.08950736,90.22507299,6.0967531,108.2166601,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,0.9071428571428573,0.995,0.4092943179836759,0.886183313154154,0.4030893272351841,0.3161694133836548,0.5
14.0,139.0,197.0,21.72484506,92.83975602,6.056529526,121.6961761,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1,0.9571428571428572,0.96,0.370135941659969,0.9166845499851768,0.3968340461912013,0.3645961124648517,0.5
18.0,125.0,203.0,22.44307715,91.59234006,6.160267496,102.5565807,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1285714285714285,0.8571428571428571,0.99,0.390745291290264,0.9021329851544838,0.4129666294689147,0.2958349323919425,0.5
33.0,143.0,204.0,21.1316077,91.95769858,5.814434775,122.5391946,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2357142857142857,0.9857142857142858,0.995,0.3531132600836095,0.9063950263345776,0.3591852110385102,0.3676247526044072,0.5
40.0,144.0,196.0,22.71750705,92.25479855,5.987262638,107.0289866,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2857142857142857,0.9928571428571428,0.955,0.3986199349282374,0.9098608064859328,0.3860621577587588,0.3119025608355951,0.5
9.0,143.0,197.0,23.75033085,92.88160462,5.570020684,117.6602827,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0642857142857142,0.9857142857142858,0.96,0.4282563534300757,0.9171727292577698,0.3211756888037477,0.3500967049782928,0.5
38.0,135.0,203.0,23.76121837,93.661643,5.9655513110000005,100.825956,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2714285714285714,0.9285714285714286,0.99,0.4285687659627527,0.9262721631442808,0.3826857682757454,0.2896174657136592,0.5
28.0,130.0,196.0,22.13450646,94.67695747,6.062356467000001,112.9203223,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2,0.8928571428571429,0.955,0.3818909929034134,0.9381161789397382,0.3977402101631474,0.3330678564686291,0.5
35.0,142.0,203.0,21.17089176,90.23730166,5.895319002000001,123.6495149,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.25,0.9785714285714284,0.99,0.3542404986722354,0.8863259650762106,0.3717637445102081,0.371613704956394,0.5
12.0,129.0,205.0,22.36238282,91.15761594,6.119432215,118.68327250000002,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0857142857142857,0.8857142857142857,1.0,0.3884298034649395,0.8970617688012428,0.4066162201501153,0.3537719125456666,0.5
1.0,135.0,203.0,22.77856513,92.70124029,5.624203283,113.7759219,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0071428571428571,0.9285714285714286,0.99,0.4003719693137723,0.9150687131754844,0.3296017770583226,0.3361416956452874,0.5
0.0,145.0,205.0,21.22503442,90.09877774,5.52078314,113.9760462,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0,1.0,1.0,0.3557940981638067,0.8847100327271635,0.3135186199506548,0.3368606650248211,0.5
31.0,121.0,201.0,23.15791104,90.34396882,5.731535257999999,110.712841,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2214285714285714,0.8285714285714286,0.98,0.4112571310864973,0.8875702766321137,0.3462932741547951,0.3251372280512238,0.5
35.0,131.0,203.0,22.42776057,93.91722423,5.893490899,102.7230739,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.25,0.9,0.99,0.3903057888553889,0.9292536119609636,0.3714794510746632,0.2964330782078209,0.5
29.0,140.0,195.0,23.64082979,90.95257927,5.560521058,116.7431319,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,0.9642857142857144,0.95,0.4251142693296174,0.894669940820964,0.3196983752651067,0.3468017360933805,0.5
33.0,138.0,198.0,22.29423493,90.69033986,6.222390797999999,122.7418744,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2357142857142857,0.95,0.965,0.3864743301421352,0.8916108218917995,0.4226275987649355,0.3683529029092429,0.5
14.0,140.0,197.0,23.35225078,90.90054697,6.071255131,113.0381382,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1,0.9642857142857144,0.96,0.4168336232879535,0.8940629649516315,0.3991240664121214,0.333491123530761,0.5
35.0,145.0,195.0,22.03911546,94.58075845,6.231950009,110.9804014,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.25,1.0,0.95,0.3791537906843041,0.936993982077531,0.4241141785343945,0.3260984693136582,0.5
40.0,120.0,197.0,23.80593812,92.48879468,5.889480679,119.6335548,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2857142857142857,0.8214285714285714,0.96,0.4298519792526649,0.912590457191882,0.370855810491452,0.3571859101242359,0.5
25.0,132.0,198.0,22.31944084,90.85174383,5.732757516,100.1173443,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1785714285714285,0.9071428571428573,0.965,0.3871976024926365,0.8934936584184273,0.3464833509316191,0.2870716973373084,0.5
31.0,137.0,196.0,22.14464104,93.82567435,6.400321212000001,120.6310784,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2214285714285714,0.9428571428571428,0.955,0.3821818001584556,0.9281856490225528,0.4502980575322803,0.3607696274627214,0.5
36.0,144.0,196.0,23.65167552,94.50528753,6.496934492,115.3611268,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2571428571428571,0.9928571428571428,0.955,0.4254254827168747,0.9361135861066378,0.4653226602436409,0.3418367251014146,0.5
10.0,140.0,197.0,22.16939473,90.27185592,6.229498836,124.4683112,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0714285714285714,0.9642857142857144,0.96,0.3828920962576594,0.8867290531965251,0.4237329897319668,0.374555324078987,0.5
68.0,49.0,38.0,24.78467614,81.91411159,6.409439681,145.39505939999998,bajra,India,2016.5,kg/ha,3740.1,2510.66,1999.41,0.4857142857142857,0.3142857142857143,0.165,0.4579364304091743,0.7892328992621542,0.4517160962745821,0.4497370544786079,0.5
91.0,94.0,46.0,29.36792366,76.24900101,6.149934034,92.82840911,banana,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.65,0.6357142857142857,0.205,0.5894506747558206,0.7231473059064989,0.4113596437503578,0.2608853660871005,0.5
105.0,95.0,50.0,27.33368994,83.67675197,5.849076099,101.0494791,banana,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.75,0.6428571428571429,0.225,0.5310792450342446,0.8097947459798819,0.3645723806956787,0.2904204979517156,0.5
108.0,92.0,53.0,27.40053601,82.96221306,6.276800323,104.9378,banana,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.7714285714285715,0.6214285714285714,0.24,0.5329973632125081,0.801459387441646,0.4310889769195624,0.304389734395771,0.5
86.0,76.0,54.0,29.3159075,80.11585705,5.926824754,90.10978128,banana,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.6142857142857143,0.5071428571428571,0.245,0.5879580942337427,0.7682556003017514,0.3766632925529062,0.2511183854449783,0.5
80.0,77.0,49.0,26.05433004,79.39654531,5.519088423,113.2297373,banana,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.5714285714285714,0.5142857142857142,0.22,0.4943685830502065,0.7598645649504893,0.313255069746861,0.3341794651566716,0.5
93.0,94.0,53.0,25.86632408,84.42379269,6.079178787999999,114.5357503,banana,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.6642857142857143,0.6357142857142857,0.24,0.4889738358422124,0.8185092500561706,0.4003562965821982,0.3388714658595998,0.5
90.0,92.0,55.0,27.00932084,80.18546798,6.13465588,97.32531705,banana,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.6428571428571429,0.6214285714285714,0.25,0.5217716183154717,0.7690676373393566,0.408983695081469,0.2770410209048422,0.5
